-147.5010674537046,123.25818713789126,11.88,-0.040846937889622514,20,-0.008984840475022793,0.001090086530894041,0.001573818502947688,-0.00882693100720644,0.0,0.0,0.0,1.0,0.2,1.1196418442907012
-147.94381838561782,122.69061268168582,11.932,-0.04097825193362395,20,-0.008984840475022793,0.0010329619981348515,0.001437420374713838,-0.008804219774901867,0.0,0.0,0.0,1.0,0.2,1.1232452760770604
-148.42122787438274,122.07397109523177,11.98,-0.18773223597603866,20,-0.008833515457808971,0.000978975323960185,0.0013302434235811234,-0.008833515457808971,0.0,0.0,0.0,1.0,0.2,1.1271323269574771
-148.7873520077254,121.50423951951899,12.032,-0.1883133146151393,20,-0.008833515457808971,0.0009804113069549203,0.07356733828783035,-0.010231119580566883,0.0,0.0,0.0,1.0,0.2,1.1307048196293996
-149.1477791089045,120.8856177004352,12.08,0.10976201920289241,20,-0.012184768915176392,0.0012499705189839005,0.18567876517772675,-0.012184768915176392,0.0,0.0,0.0,1.0,0.2,1.134558076719536
-149.20575521071072,120.31535230556793,12.132,0.11010173780772983,20,-0.012184768915176392,0.003914108034223318,0.5616965889930725,-0.017651153728365898,0.0,0.0,0.0,1.0,0.2,1.138098083056193
-145.1401865512366,125.18593578080606,12.18,0.24397119321676036,20,-0.01883222907781601,0.004591676872223616,0.8207360506057739,-0.01883222907781601,0.0,0.0,0.0,1.0,0.2,1.1071124130892638
-144.94675214400914,124.61558519003027,12.232,0.24474541369131295,20,-0.01883222907781601,0.001567650935612619,1.4638471603393555,-0.01132836565375328,0.0,0.0,0.0,1.0,0.2,1.1107698248603928
-142.76801586413336,126.68859239338292,12.28,0.4311,20,0.003458272432908416,-0.005056450143456459,1.939569354057312,0.003458272432908416,0.0,0.0,0.0,1.0,0.2,1.096955054947139
-142.36510264185844,126.12091985885861,12.332,0.4311,20,0.003458272432908416,-0.026444341987371445,2.7986202239990234,0.056095294654369354,0.0,0.0,0.0,1.0,0.2,1.1006615969425146
-137.91478877721738,130.75737962913718,12.38,0.4311,20,0.09991779923439026,-0.043353620916604996,3.2662010192871094,0.09991779923439026,0.0,0.0,0.0,1.0,0.2,1.0684417428656765
-137.39026495807963,130.19243419148287,12.432,0.4311,20,0.09991779923439026,-0.09281943738460541,4.260006904602051,0.22278982400894165,0.0,0.0,0.0,1.0,0.2,1.0722515538288797
-132.77378408547995,134.66131578897816,12.48,0.4311,20,0.305563747882843,-0.12484453618526459,4.77011251449585,0.305563747882843,0.0,0.0,0.0,1.0,0.2,1.0391504563457443
-132.5971171447613,134.10983206941822,12.532,0.4311,20,0.305563747882843,-0.22222542762756348,5.97409725189209,0.5346651077270508,0.0,0.0,0.0,1.0,0.2,1.043063606877914
-124.83433148227141,140.76736029172417,12.58,0.4311,20,0.6537363529205322,-0.2775838077068329,6.530506610870361,0.6537363529205322,0.0,0.0,0.0,1.0,0.2,0.9895752728126631
-124.190566664301,140.21088165182726,12.632,0.4311,20,0.6537363529205322,-0.4114152789115906,7.675779342651367,0.9190014600753784,0.0,0.0,0.0,1.0,0.2,0.9936660888372213
-119.1923691556359,144.2394728002321,12.68,0.4311,20,1.100738525390625,-0.4902045428752899,8.262378692626953,1.0635194778442383,0.0,0.0,0.0,1.0,0.2,0.9583538644744766
-118.35201596415263,143.68891033024,12.732,0.4311,20,1.100738525390625,-0.6961062550544739,9.6104154586792,1.4122307300567627,0.0,0.0,0.0,1.0,0.2,0.9625456775185306
-115.77951646528852,145.35294672053857,12.78,0.4311,20,1.5759799480438232,-0.7999765872955322,10.220368385314941,1.5759799480438232,0.0,0.0,0.0,0.96214599609375,0.2,0.9468950498763248
-115.05250541442305,144.82923371727617,12.832,0.4311,20,1.5759799480438232,-1.0294826030731201,11.455093383789062,1.9164291620254517,0.0,0.0,0.0,0.96214599609375,0.2,0.95112027558609
-112.45341773482201,146.4482057240118,12.88,0.4311,20,2.0918056964874268,-1.153566598892212,12.073676109313965,2.0918056964874268,0.0,0.0,0.0,0.7599006652832032,0.2,0.9353544646154456
-111.54868055900586,145.9406065241762,12.932,0.4311,20,2.0918056964874268,-1.4562159776687622,13.479679107666016,2.496370553970337,0.0,0.0,0.0,0.7599006652832032,0.2,0.9396080993675785
-111.47955216349048,145.4105635830897,12.98,0.4311,20,2.679225206375122,-1.6001009941101074,14.108261108398438,2.679225206375122,0.0,0.0,0.0,0.6181257873535156,0.2,0.9441909471537259
-110.71393407548395,144.93365057280357,13.032,0.4311,20,2.679225206375122,-1.9029062986373901,15.36630630493164,3.047574520111084,0.0,0.0,0.0,0.6121685218811035,0.2,0.9483916526400433
-108.09918480850341,146.49689876969606,13.08,0.4311,20,3.2323408126831055,-2.061251401901245,15.994524002075195,3.2323408126831055,0.0,0.0,0.0,0.5094217720031738,0.2,0.9326310376500866
-107.17643111279877,146.03318342431072,13.132,0.4311,20,3.2323408126831055,-2.432835340499878,17.4023380279541,3.6471481323242188,0.0,0.0,0.0,0.4963886451721192,0.2,0.9368614192812581
-107.10664835797766,145.52301345227727,13.18,0.4311,20,3.8306572437286377,-2.60442852973938,18.0246524810791,3.8306572437286377,0.0,0.0,0.0,0.47114944839477546,0.2,0.9414331926352152
-106.34909138377378,145.08138222609026,13.232,0.4311,20,3.8306572437286377,-2.9603583812713623,19.262269973754883,4.193206310272217,0.0,0.0,0.0,0.4571552467346194,0.2,0.9456245473539608
-103.57395749506709,146.59676110267833,13.28,0.4311,20,4.410080909729004,-3.1968770027160645,20.03490447998047,4.410080909729004,0.0,0.0,0.0,0.45677303237915057,0.2,0.9298536330436704
